"bassin_X","bassin_Z","Hip_R_X","Hip_R_Z","Hip_L_X","Hip_L_Z","genoux_droit_X","genoux_droit_Z","genoux_gauche_X","genoux_gauche_Z","cheville_droite_X","cheville_droite_Z","cheville_gauche_X","cheville_gauche_Z","pied_droit_X","pied_droit_Z","pied_gauche_X","pied_gauche_Z","tronc_X","tronc_Z","Heel_R_Z","Heel_L_Z","angle_genoux_droit","angle_genoux_gauche","angle_cheville_droite","angle_cheville_gauche","angle_bassin_gauche","angle_bassin_droit","Contact_R","Contact_L"
-0.913291248563657,1306.89407773702,-0.913291248563657,1306.89407773702,-16.0172097685637,1317.67532373702,-47.843793,786.77945,149.41985,830.006125,-473.55316,669.980335,110.107635,389.3414,-618.3559,505.06985,343.13702,291.61295,20.208147,1589.083,712.7052,302.92148,249.50176109402,203.836936346597,146.627697686865,107.65439715839,153.658535517479,180.875371850276,FALSE,FALSE
-0.626501331954906,1306.07684724465,-0.626501331954906,1306.07684724465,-14.2301992319549,1318.48544324465,-10.338274,778.950475,133.895705,825.45595,-436.61642,664.29265,61.795445,387.73546,-585.90247,497.10703,293.8211,286.25977,25.226727,1588.5477,705.3446,298.10364,253.889721671594,206.076014939104,146.817592647253,104.26838054104,154.965339237221,175.826054132131,FALSE,FALSE
-0.738566956509705,1305.70538235068,-0.738566956509705,1305.70538235068,-13.7320038565097,1318.90225035068,29.0743045,775.77203,115.728445,818.96527,-394.69457,652.54915,18.9367735,386.3637,-541.40436,473.82083,247.11485,278.4308,26.4981,1588.414,687.4785,293.95493,257.006643739901,207.129867496068,145.594280617382,102.703280394946,156.992086189712,171.277064362708,FALSE,FALSE
-0.772146091732976,1305.44937842159,-0.772146091732976,1305.44937842159,-13.409597091733,1319.05307442159,71.330747,779.28502,96.256355,813.17715,-345.412115,634.248075,-28.873562,387.26706,-480.84683,437.9547,197.66512,271.80627,27.033415,1588.28,660.2443,293.6873,258.613746906348,208.604042073105,143.793325723981,100.634256827188,159.225400965094,166.582274680099,FALSE,FALSE
-0.530277939084047,1305.553546544,-0.530277939084047,1305.553546544,-12.430333619084,1319.157242544,111.61321,788.88725,70.059373,807.3891,-295.46051,618.05482,-81.869765,389.80982,-406.37112,396.73544,140.98863,264.78027,29.107761,1587.8785,627.9916,296.43076,259.480383694591,209.14956299765,139.382823711137,99.300538073379,162.0564379856,161.760915022743,FALSE,FALSE
-0.157563385599504,1305.96557250673,-0.157563385599504,1305.96557250673,-10.8370985855995,1319.11159650673,147.880815,802.403965,34.2936265,802.771985,-244.906685,600.489775,-139.71725,393.28937,-319.65005,356.18533,74.20806,254.7431,32.118908,1587.2764,591.724,301.5832,259.176786540745,208.01846190522,134.216787204638,99.9054361087204,165.904132935126,157.072312845639,FALSE,FALSE
0.0911886001352968,1306.56138154166,0.0911886001352968,1306.56138154166,-8.9355631998647,1318.81740754166,180.43466,817.49317,-5.45352315,801.667915,-189.969965,576.8021,-196.36029,399.17781,-221.62047,319.71698,1.4052023,242.02936,35.13006,1586.5403,551.1739,310.21512,257.225363532444,205.761423734763,130.034579001084,103.095713335801,170.267478617882,152.625212476867,FALSE,FALSE
-0.357164126908851,1307.39035056104,-0.357164126908851,1307.39035056104,-7.27343544690885,1318.34958856104,206.93277,831.879725,-43.8289285,803.976425,-131.21912,547.359745,-249.72452,408.37855,-116.69871,288.6687,-74.810295,227.64278,36.133774,1586.0719,507.21112,323.66492,253.476735499361,203.430419898148,126.864496411663,108.442292269371,174.85554315964,148.986164301686,FALSE,FALSE
-1.63759996623703,1308.32368136453,-1.63759996623703,1308.32368136453,-6.13826296623704,1317.60468736453,227.542395,844.59345,-81.501735,808.69391,-68.85491,516.478735,-301.750455,420.52351,-8.096642,265.31558,-155.84363,214.25989,34.327084,1586.0719,462.64612,342.5348,248.391618891272,201.147084747216,124.308380394992,115.154493636583,179.852067608432,146.322983452889,FALSE,FALSE
-3.37094584471961,1309.27802960702,-3.37094584471961,1309.27802960702,-5.68484564471962,1316.75369360702,240.82491,854.09535,-118.40502,815.5192,2.50928975,481.14794,-355.315445,437.28556,106.05932,248.18549,-246.57954,206.56474,30.312222,1586.3396,417.07742,368.56448,240.791435197221,199.387265359663,123.456397806885,122.704687457687,185.068557594272,144.855789486361,FALSE,FALSE
-5.40112344840512,1310.1143528232,-5.40112344840512,1310.1143528232,-5.55368736840512,1315.9626668232,243.233825,856.738475,-154.63917,825.121395,72.267547,447.92495,-404.932465,456.05505,218.0071,239.55353,-341.1965,208.97365,25.360556,1586.7411,373.51614,400.7503,231.435451796585,197.248971378805,122.335475699306,131.391248300765,190.382205036767,144.913901733141,FALSE,FALSE
-7.88385520117822,1310.78446027169,-7.88385520117822,1310.78446027169,-5.67166810117822,1315.10715027169,232.427145,851.28493,-187.761785,837.03217,133.76187,418.449175,-449.698195,477.26692,316.77274,240.22267,-426.51236,224.36397,19.806662,1587.4102,335.84335,436.34875,220.450062399195,195.206528073332,121.399991822241,138.704374827713,195.505553450744,146.674819594303,FALSE,FALSE
-10.2562480876669,1311.17168228048,-10.2562480876669,1311.17168228048,-5.98443628766686,1314.50264828048,213.69112,841.147365,-214.39372,849.17713,183.98112,397.23731,-489.14423,500.31893,397.20386,253.27098,-501.055,248.25241,14.31968,1588.0125,309.41217,473.48627,209.304870388282,194.09635320581,120.197934397408,144.482422210022,199.880992186414,149.451102462209,FALSE,FALSE
