"bassin_X","bassin_Z","Hip_R_X","Hip_R_Z","Hip_L_X","Hip_L_Z","genoux_droit_X","genoux_droit_Z","genoux_gauche_X","genoux_gauche_Z","cheville_droite_X","cheville_droite_Z","cheville_gauche_X","cheville_gauche_Z","pied_droit_X","pied_droit_Z","pied_gauche_X","pied_gauche_Z","tronc_X","tronc_Z","Heel_R_Z","Heel_L_Z","angle_genoux_droit","angle_genoux_gauche","angle_cheville_droite","angle_cheville_gauche","angle_bassin_gauche","angle_bassin_droit","Contact_R","Contact_L"
-23.6165653997063,1315.62492283605,-23.6165653997063,1315.62492283605,11.2533312802937,1309.95315683605,98.255225,812.94822,-64.823016,793.40425,105.684605,367.55352,-477.454805,694.98169,355.07083,300.05325,-632.5013,504.19388,16.799768,1587.6786,284.05667,730.9573,192.672524214853,248.206075420343,106.100743784408,142.515278931786,187.234085830365,157.921779255019,FALSE,FALSE
-21.639836161878,1317.16670424599,-21.639836161878,1317.16670424599,13.280929978122,1308.59546224599,86.776495,810.3379,-22.957454,783.33108,61.5768415,367.08501,-434.886465,678.382725,302.86438,280.37543,-584.77924,481.43723,24.229149,1586.8085,276.82806,709.53925,195.328093018835,251.760040285259,106.512654208425,141.567647824735,181.693088616008,158.271547393297,FALSE,FALSE
-20.3247897074772,1317.63890094891,-20.3247897074772,1317.63890094891,14.2907680325228,1308.07578294891,72.854778,806.95785,27.4753205,778.076975,11.34486385,368.62442,-382.947715,657.2324,248.9177,271.94208,-522.0646,447.16837,27.843443,1586.206,274.15082,678.617,198.328487683817,255.01854002471,104.156322452852,139.921381518026,175.785280417661,159.491438785608,FALSE,FALSE
-19.4554309397927,1317.48830191234,-19.4554309397927,1317.48830191234,14.8294850002073,1308.35750991234,53.07656,802.573855,81.72318,781.59088,-39.690293,371.669785,-323.1111,636.717925,194.034,267.12302,-442.21545,407.545,30.386833,1585.8715,275.1548,643.478,200.167501613126,257.547084044698,101.9499085635,137.151652322593,169.554164400139,161.4612273555,FALSE,FALSE
-18.3601800908542,1317.28758227482,-18.3601800908542,1317.28758227482,15.3906245691458,1308.79268227482,23.794095,797.75479,131.252382,792.668,-97.083928,376.087265,-259.292055,613.860905,131.78783,262.10318,-347.90918,365.9137,33.13102,1585.336,281.24554,604.45703,200.634581922693,258.05201352375,100.478665817313,134.267281615332,163.677233066924,164.48738490292,FALSE,FALSE
-16.8802820819242,1317.10764904764,-16.8802820819242,1317.10764904764,15.8277345580758,1309.14683904764,-14.323309775,794.97715,173.21834,808.7315,-162.375455,383.61705,-192.29377,584.678815,57.96255,254.74072,-241.75604,324.8848,35.74134,1584.5997,292.6908,560.28235,200.074839553184,255.951815272431,100.529233977291,132.287137332764,158.4056475405,168.590176167024,FALSE,FALSE
-15.4205866852051,1316.70580930679,-15.4205866852051,1316.70580930679,15.7105264747949,1309.71149130679,-52.273385,796.88465,208.65849,827.204575,-223.41685,395.731615,-124.893905,557.7724,-21.016445,245.77193,-128.24046,291.95456,37.213833,1583.8635,310.2268,516.2415,199.049286746363,252.86571177402,103.430476121655,129.651383471844,153.719347950684,172.90974763596,FALSE,FALSE
-14.2822519585698,1316.02528565997,-14.2822519585698,1316.02528565997,14.8650145814302,1310.50612765997,-89.353355,802.3396,238.576805,846.04575,-280.308505,410.92505,-61.4095135,536.85638,-101.60179,239.88196,-14.791829,273.61536,37.1469,1583.5288,332.91653,477.82294,197.691388686792,249.85271354726,107.73889561975,125.823059428083,149.616088570891,177.431796490278,FALSE,FALSE
-13.4279677010818,1315.10742384982,-13.4279677010818,1315.10742384982,13.4048104189182,1311.54663384982,-125.663615,810.10365,261.06574,861.97545,-334.857545,428.42758,-3.279636,517.9148,-186.26996,238.34254,90.223465,269.39868,35.808273,1583.4619,360.8269,445.562,196.196664477344,246.385050263384,113.258780968933,121.845963165989,146.44035985095,182.133477933863,FALSE,FALSE
-13.0044682369904,1314.09412414897,-13.0044682369904,1314.09412414897,11.7427300430096,1312.56812014897,-161.10377,820.611845,274.518935,872.48365,-386.16043,447.46956,52.07259,497.199535,-274.88705,244.70102,184.12814,274.41855,33.465675,1583.5958,394.15872,416.9154,194.390754726568,241.498562928875,120.147505145528,118.685286125006,144.575928028684,186.921759415029,FALSE,FALSE
-13.2626552487467,1313.3462375071,-13.2626552487467,1313.3462375071,9.47526491125334,1313.4225035071,-193.297745,833.96465,278.13324,876.06445,-436.05775,470.427015,108.5291875,470.39354,-364.642,262.23703,270.33572,283.9228,29.18207,1584.2651,432.9789,387.8672,193.149845496317,234.250321134411,127.332547691841,116.361825947168,144.277077265504,191.67989613425,FALSE,FALSE
