"bassin_X","bassin_Z","Hip_R_X","Hip_R_Z","Hip_L_X","Hip_L_Z","genoux_droit_X","genoux_droit_Z","genoux_gauche_X","genoux_gauche_Z","cheville_droite_X","cheville_droite_Z","cheville_gauche_X","cheville_gauche_Z","pied_droit_X","pied_droit_Z","pied_gauche_X","pied_gauche_Z","tronc_X","tronc_Z","Heel_R_Z","Heel_L_Z","angle_genoux_droit","angle_genoux_gauche","angle_cheville_droite","angle_cheville_gauche","angle_bassin_gauche","angle_bassin_droit","Contact_R","Contact_L"
-36.182262283873,1312.58597940747,-36.182262283873,1312.58597940747,10.436757876127,1310.50042540747,79.411758,811.552705,-79.5121535,801.479825,120.908005,366.405125,-432.029415,574.8903,349.4385,285.85556,-511.47464,337.3912,-11.57879,1589.7745,283.31226,573.98676,187.665794454507,227.246806900451,114.741565202824,141.227397489049,194.528650579104,161.936210711617,FALSE,FALSE
-33.6824226934381,1313.61213429713,-33.6824226934381,1313.61213429713,12.3262023265619,1310.25494829713,78.976717,809.846005,-45.645866,793.01328,93.19922,364.29685,-403.952525,576.53002,316.71002,276.75317,-486.77768,341.34006,-3.2795417,1589.5068,281.43823,579.6757,190.777522464345,232.465306365258,113.217390471485,140.540080361946,189.593578032046,161.105668796375,FALSE,FALSE
-31.1374234922522,1315.12180703239,-31.1374234922522,1315.12180703239,14.2353691877478,1309.42477103239,74.1912615,810.74957,-10.1398068,785.65102,63.348697,366.94056,-367.57638,565.98865,281.30435,265.04053,-447.4232,331.03293,5.0197067,1589.0383,278.49332,569.8371,193.195125628344,235.762741709564,113.657834326169,140.342471507771,184.552189661702,160.684770140736,FALSE,FALSE
-29.8483296072161,1315.74233687805,-29.8483296072161,1315.74233687805,14.5834325927839,1308.90085487806,68.2345465,809.81255,29.348552,781.20022,31.925335,369.35002,-325.7455,555.146085,247.10342,259.01688,-395.41904,313.2297,7.6299543,1588.7037,277.22168,551.7662,195.684115450612,239.121748511666,112.434123214693,138.547730353376,179.820860636235,161.210394159786,FALSE,FALSE
-29.025718677804,1315.76666954987,-29.025718677804,1315.76666954987,14.185252482196,1308.97603154987,58.5297785,806.9346,70.4766815,782.30455,-2.877965,371.792935,-279.69806,545.77595,212.63478,256.6074,-331.50143,293.8871,8.767755,1588.7037,277.35553,531.08496,197.7959697403,242.063293420737,110.090647789063,135.658795860644,175.008813572235,162.353048952182,FALSE,FALSE
-28.1152231141931,1315.74847225142,-28.1152231141931,1315.74847225142,13.7223566058069,1309.21213025142,40.4923005,802.416825,110.1323625,788.428585,-41.0277355,373.56656,-228.36319,534.197185,172.14247,251.58769,-257.0759,274.076,10.307131,1588.7037,279.49725,507.65967,198.375481162478,243.579289846115,109.015843090401,133.207773830107,170.211948643224,164.37489273849,FALSE,FALSE
-27.0757045817423,1315.73156724556,-27.0757045817423,1315.73156724556,13.2358848182577,1309.44952124556,17.5689743,798.33415,143.56361,797.83215,-83.293665,376.41107,-176.057845,521.246325,126.22889,244.82782,-175.6228,256.1389,12.047296,1588.5698,283.78076,481.89185,198.376169738137,243.419968877949,108.68492284531,130.777394536726,165.952596880383,166.908164034786,FALSE,FALSE
-26.147716151948,1315.59859344224,-26.147716151948,1315.59859344224,12.739619568052,1309.72352744224,-5.75593025,796.7613,172.577515,809.3775,-122.782025,381.196515,-123.484785,507.1577,79.177505,235.85928,-89.01613,242.88687,13.385884,1588.436,290.60754,455.3878,197.978338623283,242.126660962318,110.012518956988,128.158567323436,162.150819222436,169.504606356297,FALSE,FALSE
-25.3347215298742,1315.30391451128,-25.3347215298742,1315.30391451128,12.1537855501258,1310.14096851128,-29.080834,797.095945,196.80596,821.224,-160.630615,387.98987,-70.7778665,489.88991,31.389898,226.02066,-0.13385884,234.72148,13.85439,1588.3021,300.37924,428.28137,197.411230637625,239.614521126964,112.322202037332,125.60094292055,158.959368653074,172.245134483007,FALSE,FALSE
-24.7661122899797,1314.81794952814,-24.7661122899797,1314.81794952814,11.1201042700203,1310.69776152814,-53.008105,798.53495,216.349355,832.133515,-198.144555,395.921005,-18.87409715,471.48431,-18.807167,216.58362,87.61061,231.70966,13.519743,1588.3021,313.0289,401.64346,196.692389056219,236.325054154715,115.176506302723,122.94054957168,156.292974708712,175.161889468237,FALSE,FALSE
-24.2289339229653,1314.23250171247,-24.2289339229653,1314.23250171247,9.77522775703471,1311.35856171247,-77.270018,801.11175,231.040365,841.00165,-235.558105,404.923005,33.73243,452.87793,-71.68141,209.42216,172.6779,233.78447,12.582731,1588.3021,328.55655,376.27722,195.876360411392,232.140337681813,118.250862628055,120.670679354459,154.225970889185,178.251780152566,FALSE,FALSE
-23.8656515100031,1313.63684106009,-23.8656515100031,1313.63684106009,8.35818774999694,1311.98365106009,-100.86264,805.16095,237.298265,845.85405,-272.63699,415.76557,86.941325,432.63179,-127.29976,205.67412,253.79637,239.94199,11.177214,1588.436,347.3637,351.58026,195.193047966579,226.15266855717,121.521499520952,119.115216793773,153.257751902063,181.343477984533,FALSE,FALSE
-23.8600294167795,1313.05735702408,-23.8600294167795,1313.05735702408,6.93955350322055,1312.37062102408,-122.146195,810.54878,232.312025,844.548925,-309.147005,429.08453,134.494675,412.28525,-185.66222,207.07964,325.74548,250.91841,9.169331,1588.6367,370.18665,328.28882,195.048117768222,218.473144298458,124.801125841113,117.405055026782,153.815189382602,184.232285938116,FALSE,FALSE
-24.2101885539592,1312.67615715061,-24.2101885539592,1312.67615715061,5.31773310604082,1312.49812715061,-140.953365,817.20825,216.315895,837.621705,-342.94636,443.87593,174.28422,394.649335,-241.01285,215.44582,383.77332,268.8555,5.82286,1588.9045,395.28516,309.28085,195.157463928417,209.376955806454,127.536111620065,115.563624825571,155.938650792643,187.053188683807,FALSE,FALSE
-24.5057803701331,1312.44170993578,-24.5057803701331,1312.44170993578,3.80134682986695,1312.49255393578,-156.91603,824.135425,196.93983,828.653175,-371.960255,458.56694,206.510735,382.903225,-291.14297,228.49706,427.07663,294.75717,2.7441063,1589.2391,421.99002,297.50128,195.294377348505,200.530807329412,130.179009698601,113.013459791587,158.458040318514,189.549143129354,FALSE,FALSE
-24.5724141912253,1312.23294987498,-24.5724141912253,1312.23294987498,2.6156563287747,1312.46182387498,-167.92593,829.1217,179.73897,820.18662,-397.72809,474.66346,232.34549,376.91304,-326.08014,247.37114,458.19882,321.1943,0.9370119,1589.44,445.95074,292.88315,196.428931446605,193.020955505339,129.547783133045,110.626378332845,160.558231562283,191.269471236188,FALSE,FALSE
-24.4740361879318,1312.04937392152,-24.4740361879318,1312.04937392152,1.69670517206818,1312.43085592152,-169.866875,830.594115,163.173935,813.22592,-418.1081,493.57103,243.6231,374.06854,-349.8401,268.11926,474.5296,332.70615,-0.33464712,1589.5737,466.63193,290.87527,199.570669574466,187.543874077331,126.779146767212,110.536612317861,162.495172062379,191.832448915577,FALSE,FALSE
-24.4446281127079,1311.79589954219,-24.4446281127079,1311.79589954219,0.352724087292058,1312.43171554219,-163.44165,828.7201,153.536095,809.411,-432.76564,514.85458,246.434125,373.06461,-373.7339,288.59967,479.0808,330.029,-2.1417415,1589.7076,489.321,288.8674,204.58017942509,184.918095261071,124.744586908344,112.49907072346,163.578531602955,191.464041531906,FALSE,FALSE
-24.5772448719799,1311.41406102391,-24.5772448719799,1311.41406102391,-1.35675017197986,1312.58396702391,-150.55774,823.16495,153.435695,810.21412,-442.570805,536.405855,241.481355,373.164995,-395.68674,310.084,474.93118,323.20218,-4.3504124,1589.9753,515.15576,286.92642,211.051931207882,185.735286046142,122.776239192484,113.470233003888,163.492977360828,190.315112503024,FALSE,FALSE
-24.7741368408518,1310.90124855682,-24.7741368408518,1310.90124855682,-2.69813754085181,1312.75781455682,-132.419865,814.597975,158.622735,813.99563,-445.5157,555.915775,226.95767,373.600035,-415.49786,332.37152,458.86813,309.34778,-6.023648,1590.243,543.13226,284.45004,218.198597891415,189.103324448131,121.915771586942,114.305813379832,162.763215963361,188.397469481674,FALSE,FALSE
-24.8190306865705,1310.53831092797,-24.8190306865705,1310.53831092797,-3.17539386657051,1313.00534692797,-111.03591,805.26135,162.571565,817.4425,-441.80112,572.4808,206.20955,373.968155,-433.23416,354.79288,428.14752,284.3162,-6.2913656,1590.377,570.9749,285.18628,225.180221475567,192.87330477636,122.882818832966,117.6160974707,162.150497265477,185.895354160521,FALSE,FALSE
-24.0906925420856,1310.33992048642,-24.0906925420856,1310.33992048642,-2.37075704208557,1313.62080248642,-87.8114025,796.46013,165.61686,817.14132,-432.76564,586.234815,174.618865,372.629545,-444.0098,374.93863,401.57654,291.61148,-3.1456828,1590.1761,594.26636,286.8595,231.572081614665,197.533476975324,124.405496206253,110.805423876986,161.466905425367,182.788094290393,FALSE,FALSE
-21.9101202310521,1309.84585044311,-21.9101202310521,1309.84585044311,-0.520816271052073,1314.83076644311,-62.679403,788.69632,158.321545,817.54292,-418.241965,595.638385,135.030115,373.131535,-444.21057,387.98987,364.4307,288.1981,4.3504124,1589.373,608.79004,286.32407,237.026488037301,200.714488482378,125.628823543217,107.316498655154,161.26911871793,179.106139583479,FALSE,FALSE
-20.9137833976571,1309.09859226517,-20.9137833976571,1309.09859226517,0.755285302342884,1315.96557226517,-37.212758,782.47189,152.331365,818.613775,-398.7655,598.65021,101.39807,376.34414,-434.57275,390.6001,328.75732,282.91068,9.102402,1588.7037,612.1365,286.05637,241.27745016903,203.51889472665,126.715259130833,105.770810759837,161.297560933496,175.645371312639,FALSE,FALSE
-21.0272208360798,1308.66765710691,-21.0272208360798,1308.66765710691,1.40484606392016,1316.45020910691,-11.07681925,779.593905,144.56756,815.76926,-374.302795,597.47898,69.740458,376.846115,-412.95453,383.90717,295.22568,277.62323,11.177214,1588.5029,606.17975,285.32013,244.449089603766,205.631847671045,126.886581702901,104.07678562296,161.985630155715,172.357631946806,FALSE,FALSE
-20.9339214535242,1308.56918609985,-20.9339214535242,1308.56918609985,1.90507262647574,1316.70779809985,14.42329025,781.53488,132.486797,811.21805,-346.82826,592.425775,34.635976,376.87958,-380.3599,369.98584,258.6153,271.8673,13.586673,1588.369,593.4632,284.7847,246.206757186383,207.180436602824,126.203790347987,102.423407456678,163.053361483276,169.128558626222,FALSE,FALSE
-20.5787614081936,1308.50940820545,-20.5787614081936,1308.50940820545,2.61630027180644,1316.85151020545,40.1241885,787.62545,114.148128,806.332225,-316.04074,582.286,-4.71852425,377.147305,-337.92667,349.10388,215.51274,264.37122,16.330778,1588.1013,573.719,284.91855,246.682470059974,207.804187746359,125.326640984085,101.635537146244,164.781936700569,165.832572018475,FALSE,FALSE
-20.1630083928142,1308.58715350422,-20.1630083928142,1308.58715350422,3.59158048718581,1316.87841150422,64.9884665,796.52703,90.354722,802.115675,-282.00712,567.39415,-47.9883965,378.6532,-286.65872,323.80453,166.58733,255.4696,19.409533,1587.6997,547.75037,286.32407,246.00330395707,207.659229675994,124.532117598823,101.767303156256,167.090035342787,162.488963956122,FALSE,FALSE
-19.8230988939699,1308.98610523346,-19.8230988939699,1308.98610523346,4.82165062603013,1316.69231523346,88.581093,806.86765,62.14397,799.237705,-243.58963,548.3193,-92.262205,381.19653,-225.8868,297.36743,113.110725,244.89476,22.421356,1587.2982,516.7621,289.40283,244.287054790566,206.593339409942,123.860640861421,103.299377033422,169.957520855282,159.186254517028,FALSE,FALSE
-19.7849155339691,1309.61948611523,-19.7849155339691,1309.61948611523,6.05519656603092,1316.30843611523,109.1284225,816.84015,31.5572225,798.16685,-201.022515,525.3625,-136.469085,385.24575,-156.54791,272.7374,55.41756,231.70966,24.696957,1587.0305,481.89185,295.22568,241.438067473354,204.960169381635,123.237631760123,106.522237870199,173.243140141338,156.230071661366,FALSE,FALSE
-20.2488593290269,1310.25025696039,-20.2488593290269,1310.25025696039,7.04094327097312,1315.74380296039,125.52613,825.37365,0.301182000000001,798.9365,-153.66995,498.82498,-180.977155,391.503665,-80.04759,251.85542,-6.5590835,217.58755,25.299322,1586.9635,444.34442,305.0643,237.263197707061,203.238467147781,122.870389766968,110.93180808195,176.895847253363,153.919626442843,FALSE,FALSE
-21.2190400107977,1310.82838001607,-21.2190400107977,1310.82838001607,7.52045346920234,1315.17748001607,137.874608,832.06659,-31.1221805,801.54675,-103.40596,471.852435,-224.88286,399.869825,1.0039413,236.7963,-71.8822,205.4064,24.29538,1587.1643,406.86395,318.7179,232.196944104655,201.449203779069,122.234443823004,116.053202404331,180.773224671299,152.26520020191,FALSE,FALSE
-22.304809866654,1311.308917899,-22.304809866654,1311.308917899,7.68091033334596,1314.589799899,145.303775,836.182725,-60.9057715,805.8637,-49.22659,444.17711,-267.3161,410.84627,86.13817,228.22932,-141.35493,195.90242,22.421356,1587.5659,370.3205,336.655,225.823754806495,199.910286841549,121.526237626069,122.040257909325,184.587429410881,151.372444892535,FALSE,FALSE
-23.1204483122267,1311.5974440813,-23.1204483122267,1311.5974440813,7.60283288777327,1314.1916280813,147.81363,836.68472,-89.183455,811.85392,6.358295,418.71046,-306.2021,423.328595,171.87476,228.02855,-213.30406,191.15044,20.748121,1587.8336,337.5251,358.54092,218.49259046397,198.280780517865,120.343837531795,129.00647249911,188.155364956459,151.181124238887,FALSE,TRUE
-23.9636457166713,1311.70290913794,-23.9636457166713,1311.70290913794,7.39546478332867,1313.99191513794,143.262435,832.602025,-115.252465,819.21615,59.667579,396.35605,-341.105805,437.38377,252.65857,237.2648,-283.51303,193.29218,18.874098,1588.1682,310.7533,383.5725,210.088808953915,196.682075251928,118.652606844799,136.11976101748,191.524843840719,151.951070795815,FALSE,FALSE
